Assamese_Sentence	English_Translation
ভোটৰ মূল্য আৰু ভোটাৰৰ মাজৰ পাৰ্থক্য এয়াই।	This is the difference between the value of the vote and the voter.
ৰামলীলা ময়দানত উপস্থিত হৈছে আপ নেতা অৰবিন্দ কেজৰিৱাল।	AAP leader Arvind Kejriwal arrives at Ramlila Maidan.
উল্লেখ্য যে, সংবাদমেলত জিলা সভাপতিজনৰ লগতে উপস্থিত থাকে সম্পাদক আৰু বহু কেইজন বিজেপিৰ শীৰ্ষ নেতা।	It is to be noted that along with the district president, the secretary and many top BJP leaders are also present in the meeting.
মাত্ৰ ৫০০ টকা প্ৰদান কৰিলেই হ’ব ।	Only 500 rupees will be given.
উল্লেখ্য যে, শ্ৰম বিভাগৰ প্ৰিন্টিং কেলেংকাৰীৰ তেওঁ অভিযুক্ত আছিল।	Notably, he was an accused in the Labour Department printing scam.
কিন্তু লামডিং আৰ পি এফৰ চি আই বি দলে টেবলেট খিনি কৌশলৰে যুৱকজনৰ পৰা জব্দ কৰে ৷	However, the CIB team of Lumding RPF seized the tablet from the youth by pulling it.
মাৰ্কশ্বীটসমূহ আপলোড কৰাৰ এসসপ্তাহ সময়ৰ ভিতৰতেই দিল্লী বিশ্ববিদ্যালয়ে প্ৰথমখন কাট অফ মাৰ্কৰ তালিকা প্ৰকাশ কৰিব৷	Delhi University will release the first cut-off marks list within a week of uploading the marksheets.
কৃষকক সকাহ দিয়াৰ বাবে কাম কৰিছে।	It has worked to provide relief to farmers.
এতিয়া পূৰ্বৰ দৰে হৰেনে সুৰাপান নকৰে।	Now, as before, Haren does not drink alcohol.
কোৰোনা ভাইৰাছৰ সংক্ৰমণ প্ৰতিৰোধ কৰিবৰ বাবে বিশ্বৰ প্ৰতিখন দেশেই সহযোগিতাৰে কাম কৰাৰ আশ্বাস আৰু প্ৰতিশ্ৰুতি দি এতিয়া কেৱল এই দিশটোতহে মনোনিবেশ কৰিছে।	Every country in the world is now focusing only on this aspect, assuring and pledging to work cooperatively to prevent the spread of the corona virus.
আহত ৪ জন লোক।	Four people were wounded.
আই নৈৰ এনে খহনীয়াৰ পৰা মুক্ত হ’বলৈ এতিয়া নেদেখাজনৰ ওপৰতেই শেষ আশা আক্ৰান্তসকলৰ।	The last hope of the victims is now on the blind to be free from such deprivation of the eye.
শিক্ষিত সমাজৰ জীৱন কৌশলতাত সাহিত্য প্রাথমিক প্রয়োজন৷	Literature is the primary requirement in the life strategy of an educated society.
ধৃত ৬ জেহাদীৰ ভিতৰত মুছাৰফ হুছেইন আৰু মকিবুল হুছেইন সম্পৰ্কত নিজ ভাই-ককাই ৷	Of the 6 arrested jihadis, Musharraf Hussain and Maqbool Hussain are cousins.
প্ৰতিযোগিতাত বিজয়ী দলে লাভ কৰিব কনক চন্দ্ৰ বৰুৱা সোঁৱৰণী ট্ৰফীৰ লগতে নগদ ৫০ হাজাৰ টকা।	The winner of the tournament will receive the Kanak Chandra Baruah Memorial Trophy along with a cash prize of Rs.
৭০ খন আসনৰ বাবে মুঠ ৬৭২ টা ভোটগ্ৰহণ কেন্দ্ৰত অনুষ্ঠিত হৈছে ভোটদান পৰ্ব।	A total of 672 polling stations have been set up for 70 seats.
